identifier,final_title,part_number,date,publisher,pubplace,County1,City1,CitySection1,County2,City2,CitySection2,County3,City3,CitySection3,County4,City4,CitySection4,County5,City5,CitySection5,County6,City6,CitySection6,County7,City7,CitySection7,County8,City8,CitySection8,County9,City9,CitySection9,County10,City10,CitySection10,County11,City11,CitySection11,County12,City12,CitySection12,County13,City13,CitySection13,County14,City14,CitySection14,County15,City15,CitySection15,County16,City16,CitySection16,County17,City17,CitySection17,County18,City18,CitySection18,County19,City19,CitySection19,County20,City20,CitySection20,streets,features
24v0308b,"Morningside, Highland Park",Plate 8 B,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Morningside,Allegheny County (Pa.),Pittsburgh,Highland Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler st, St Marie (Bond) st, Violin way, Chinn way, Chianti (River ave) st, Wellesley rd, Winterton st, Meadow st, Poinsett way, Stewart st, Stanton ave, Glenview pl, Heberton st, Ethel way, Jackson st, Callery st, Wellesley ave, Pace st, Collins st ","Meadow st Bridge, "
24v0309a,Highland Park,Plate 9 A,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Highland Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winterton st, Poinsett way, Sheridan (pl) st, Browning rd, Heberton st, De Victor (Sherwood) pl, Heberton st, Bryant st, Farragut st, Stewart st, Grafton st, Winterton st, N Highland ave, Bunker Hill st, Sheridan ave, Sheridan st ","Highland Park, Highland Park - Entrance to Park, "
24v0309b,Highland Park,Plate 9 B,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Highland Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winterton st, Stanton ave, Chianti (River ave) st, Bryant st, Stewart st, Wellesley ave, Pontefract way, Washington (Beechwood ave)  blvd, Burpee st, Jackson st ","Highland Park, "
24v0310a,Highland Park,Plate 10 A,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Highland Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cordova way, Hampton st, Bryant st, N Negley ave, Cordova rd, King ave, Beverly pl, Callowhill st, Heth's (Haights) ave, Elgin st ","Reservoir No 2, Highland Park, "
24v0310b,Highland Park,Plate 10 B,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Highland Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Albree way, Azimuth way, Highland ct, Thalia way, Uhlman way, Mildred way, N Euclid st, Bryant ct, N St Clair st, Bunker Hill st, Callowhill st, Elgin st, Bryant st, Hampton st, Portland st, Mellon st, Marengo way, Greystone dr ","Steps, Highland Park, Reservoir No 2, "
24v0311a,"Morningside, Highland Park",Plate 11 A,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Highland Park,Allegheny County (Pa.),Pittsburgh,Morningside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson (Huguenot) st, Springer way, Stanton st, Mossfield (Morningside ave) st, Swan way, Mapleton way, Heth's (Haights) way, N Rebecca st, Highview (Heath) st, Wellesley (McCully) ave, Bossart st, King st, Jancey st, Baywood st, Livery way, Avondale st, Hampton st, Chislett st ",
24v0311b,"Morningside, Highland Park",Plate 11 B,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Highland Park,Allegheny County (Pa.),Pittsburgh,Morningside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avondale st, Portland way, Roxanna way, Costar (Corona) way, Conestoga way, Janero (James) way, Samantha (Wayne) way, Hampton st, Wellesley ave, Snively way, Mapleton way, Jackson st, Springer way, Portland st, Jackson (Homer) st, Casanova way, N Euclid ave, Wellston way, Mellon st, N St Clair st, N Negley ave, Paca way, Hays st, Baywood st, Livery way, Stanton ave ",
24v0312a,"Highland Park, Garfield, East Liberty",Plate 12 A,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Highland Park,Allegheny County (Pa.),Pittsburgh,East Liberty,Allegheny County (Pa.),Pittsburgh,Garfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hillcrest (Breeds Hill) st, N Fairmount st, Marple way, Heths way, Samantha (Wayne) way, Hays st, Janet way, Baywood st, N Rebecca st, Sharp (Shays) way, Rosetta st, Samoan way, Dorothy pl, Margetta st, Columbo st, Chislett st, Graham st, Ardary st, N Negley ave, Oriole way, Black st ","Spring, Retaining Wall, "
24v0312b,"East Liberty, Garfield",Plate 12 B,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Garfield,Allegheny County (Pa.),Pittsburgh,East Liberty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N Negley ave, Reyney way, Warp way, Euclid ave, Shuttle way, Weldin way, Mathews way, Beatty st, Mellon st, Rural st, Weldin st, Rippey st, Margetta st, Black st, Hays st, Woof way, Ryolite way, St Clair st, Lamb way ",
24v0313a,Garfield,Plate 13 A,1924,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,Garfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N Mathilda st, Kincaid st, N Winebiddle st, N Millvale ave, Gem way, Alhambra way, Broad (Dauphin) st, Jordan way, Mossfield (Morningside ave) st, Breesport (Beach) st, Young (High) st, Hillcrest (Breeds Hill) st, Morningside rd, Shamrock way, Unadilla st, Reno way, Rosetta st, Brown way, Dearborn st, Penn ave, Mossfield st, Sullivan st, Luzerne st ","Allegheny Cemetery, Steps, Steps, Steps, Steps, ""Breed's Hill"", "
